0;1.89803;1.91712;0.9611;1.88637;1.89278;1.8731;1.85473;0.93997;1.48189;0.93189;1.83436;1.58427;1.88841;1.93019;1.91228;1.76829;1.87673;1.76641;1.74756;1.89412;1.50594;1.93651;1.79661;1.86415;1.85938;1.56769;1.62697;
1.89803;0;1.93522;0.96403;1.90447;1.91088;1.8912;1.87283;0.95807;1.49999;1.60523;1.85246;1.60237;1.90651;1.94829;1.92788;1.78639;1.87966;1.78451;1.76566;1.91222;1.52404;1.95461;1.81471;1.88225;1.87748;1.58579;1.64507;
1.91712;1.93522;0;0.9811;1.92355;1.92996;1.91028;1.89191;0.97715;1.51908;1.62431;1.87155;1.62146;1.92559;1.96737;1.94496;1.80548;1.89674;1.80359;1.78475;1.9313;1.54312;1.97369;1.83379;1.90134;1.89657;1.60487;1.66415;
0.9611;0.96403;0.9811;0;0.97996;0.97012;0.93643;0.93979;1.29557;0.83573;0.94795;0.93592;0.87083;0.96869;0.99125;0.96385;0.92275;0.91563;0.95416;0.97373;0.97035;0.96685;0.9978;0.9567;0.95047;0.9444;0.66785;0.8284;
1.88637;1.90447;1.92355;0.97996;0;1.89921;1.87953;1.86116;0.9464;1.48833;1.59356;1.8408;1.59071;1.89484;1.93662;1.91871;1.77473;1.8956;1.77284;1.754;1.90055;1.51237;1.94294;1.80304;1.87059;1.86582;1.57412;1.6334;
1.89278;1.91088;1.92996;0.97012;1.89921;0;1.88595;1.86758;0.95281;1.49474;1.59998;1.84721;1.59712;1.90126;1.94303;1.92513;1.78114;1.88575;1.77926;1.76041;1.90696;1.51879;1.94935;1.80945;1.877;1.87223;1.58053;1.63981;
1.8731;1.8912;1.91028;0.93643;1.87953;1.88595;0;1.8479;0.93313;1.47506;1.5803;1.82753;1.57744;1.88158;1.92335;1.90028;1.76146;1.85206;1.75958;1.74073;1.88728;1.4991;1.92967;1.78977;1.85732;0.93682;1.56085;1.62013;
1.85473;1.87283;1.89191;0.93979;1.86116;1.86758;1.8479;0;0.91476;1.45669;1.56193;1.80916;1.55907;1.86321;1.90498;1.88708;1.74309;1.85543;1.74121;1.72236;1.86891;1.48074;1.9113;1.7714;1.83895;1.83418;1.54248;1.60176;
0.93997;0.95807;0.97715;1.29557;0.9464;0.95281;0.93313;0.91476;0;0.54193;0.64716;0.8944;0.64431;0.94844;0.99022;0.97231;0.82833;0.95597;0.82644;0.8076;0.95415;0.56597;0.99654;0.85664;0.92419;0.91942;0.62772;0.687;
1.48189;1.49999;1.51908;0.83573;1.48833;1.49474;1.47506;1.45669;0.54193;0;1.18909;1.43632;1.18624;1.49037;1.53215;1.51424;1.37025;1.4979;1.36837;1.34952;1.49608;1.1079;1.53847;1.39857;1.46611;1.46134;1.16965;1.22893;
