0;0.93643;1.81334;0.93592;1.85972;1.8043;1.89233;1.81842;1.88824;2.72412;1.80372;0.9978;1.83852;1.78342;1.85342;1.8745;1.8827;0.9567;0.9444;2.70954;2.78282;1.9947;1.99427;1.9878;
0.93643;0;0.93313;1.82753;1.79794;1.93313;1.89712;2.6595;1.88066;1.89144;2.69533;1.92967;2.65281;1.88143;1.89962;1.86693;1.87608;1.78977;0.93682;1.83571;1.93268;1.11947;1.13915;1.1436;
1.81334;0.93313;0;0.8944;0.8648;1;1.79227;1.72637;1.86325;0.9583;1.7622;0.99654;1.71968;1.67675;1.73564;1.70248;1.6872;0.85664;0.91942;0.90257;0.99955;0.18634;0.20602;0.21046;
0.93592;1.82753;0.8944;0;0.9238;0.86838;1.9172;0.8825;2.73594;1.7882;0.8678;1.8457;0.9026;0.8475;0.9175;1.76148;1.7462;1.75104;1.7921;1.77362;1.8469;1.08074;1.10041;1.10486;
1.85972;1.79794;0.8648;0.9238;0;0.6079;1.87053;0.86157;2.70039;1.55121;0.91327;1.81015;0.85488;0.81195;0.87083;0.83768;0.8224;1.72144;1.75655;1.73807;1.81135;0.9656;0.9026;0.8881;
1.8043;1.93313;1;0.86838;0.6079;0;2.47843;1.46947;2.86325;0.94331;1.52117;1.99654;1.46277;1.41985;1.47873;1.44558;1.4303;1.85664;1.91942;1.90257;1.99955;1.18634;1.20602;1.21046;
1.89233;1.89712;1.79227;1.9172;1.87053;2.47843;0;1.85073;1.90414;2.75058;1.85197;1.99292;1.8506;1.85153;0.9997;1.85195;1.85244;0.93563;0.9603;0.92541;2.79182;1.97861;1.89381;2.00274;
1.81842;2.6595;1.72637;0.8825;0.86157;1.46947;1.85073;0;2.90634;2.41278;1.7503;1.99292;1.71644;1.67352;0.9997;1.69925;1.68397;0.93414;1.9625;0.92532;2.67292;1.82717;1.76417;1.74967;
1.88824;1.88066;1.86325;2.73594;2.70039;2.86325;1.90414;2.90634;0;2.82155;3.60374;2.85979;3.55526;1.88844;1.90664;1.87394;1.88309;2.71989;0.94384;2.76583;1;2.04959;2.06927;2.07371;
2.72412;1.89144;0.9583;1.7882;1.55121;0.94331;2.75058;2.41278;2.82155;0;2.46448;1.9389;0.9398;0.9407;2.42204;2.38889;2.37361;1.81494;1.87772;1.86088;1.9401;1.14464;1.16432;1.16876;
